id,created_at,text
743469475479970000,2016-06-16 15:45:10,Chinese investment into U.S. housing set to double https://t.co/wyWujze7xJ #hw
743465957742490000,2016-06-16 15:31:11,Announcing the HW Insiders Award™ program recognizing operational all-stars! Nominate now! https://t.co/JmENTwGjCy https://t.co/rijwVvLm1Y
743450608716284000,2016-06-16 14:30:12,Freddie Mac: 30-year mortgage rate drops for second consecutive week https://t.co/XuS2O93KRO #hw
743420536685007000,2016-06-16 12:30:42,HW Q&amp
743224128560235000,2016-06-15 23:30:15,MGIC CEO questions the role of the FHA https://t.co/x97GRwhabC #hw
743224107337081000,2016-06-15 23:30:10,California bill to protect surviving homeowners up for vote https://t.co/VIESig05NZ #hw
743206239010578000,2016-06-15 22:19:10,Nevada Appeals Court tosses $107 million mortgage fraud penalty https://t.co/Flu8KGWWe7 #hw
743204716004287000,2016-06-15 22:13:07,Carrington Mortgage hires new executive vice president https://t.co/koBJkMLYvY #hw
743187491658830000,2016-06-15 21:04:40,HW Q&amp
743166481332994000,2016-06-15 19:41:11,Capsilon lands big time private equity investment https://t.co/5KPU3hVVTG #hw
743161457940980000,2016-06-15 19:21:13,"To no one's surprise, FOMC decided to not raise rates in June https://t.co/clxRMm8XXQ #hw"
743161450277937000,2016-06-15 19:21:11,Brooklyn man could spend 18 years in prison for stealing homes https://t.co/hFE4jzAAGo #hw
743156656737948000,2016-06-15 19:02:08,This is how HousingWire will celebrate the housing industry's Insiders https://t.co/qF4uz1wYQ8 #hw
743150126051398000,2016-06-15 18:36:11,"Hackers caught selling access to over 70,000 companies https://t.co/0qfWL7qnGV #hw"
743147186343535000,2016-06-15 18:24:30,"We knew we had a great team, but WOW! HW team member featured in Folio's Top Women in Media! https://t.co/xvRwAhHx03 https://t.co/5XzbPL4Q88"
743147109482791000,2016-06-15 18:24:12,"Community lenders ""baffled"" to see major trade groups push ""Wall Street"" agenda https://t.co/6eVJx9uVDi #hw"
743147101891105000,2016-06-15 18:24:10,Ellie Mae: Purchase mortgages make up over 60% of closed loans https://t.co/Gi7ZkfVgEU #hw
743111633887629000,2016-06-15 16:03:14,"Fannie Mae names new senior vice president, chief audit executive https://t.co/E7tN4X8kqS #hw"
743110107139957000,2016-06-15 15:57:10,Nationstar gets $50 billion subservicing contract from Seneca https://t.co/nt01FKqLF8 #hw
